#TIC Period t0 Duration Depth SNR Depth_even Depth_odd Depth_half
441357923 13.793994905226334 1.47 0.05 1016524408.5965071 6093068912.640045 1016524408.5965068 0.0 343739481.9658091
441322912 13.8553599726548 9.270000000000001 0.05 157921920.2781143 946588286.870685 0.0 157921920.27811432 55496858.887559615
441384532 27.68876923214684 24.169999999999998 0.05 127981824.2649047 767126494.4834641 0.0 127981824.2649047 127981824.2649047
441384659 28.131447604399547 3.45 0.05 109941973.7661786 658993653.2332407 0.0 109941973.76617858 55174325.97862608
441357796 13.980120177386391 11.33 0.05 84788033.85181665 508221613.7146179 84788033.85181664 0.0 29475046.036370836
441357671 14.171469973062209 7.515000000000001 0.05 73060522.70311886 437926326.0763529 0.0 73060522.70311885 24690177.148369253
441353842 22.158532233426758 18.529999999999998 0.05 65180397.504981965 390692688.136688 0.0 65180397.50498195 32643943.867516078
269772525 28.18982517257748 0.54 0.05 38406480.77174613 230208060.98193416 0.0 38406480.77174612 38406480.77174612
212252042 28.447968147735686 16.81 0.05 32707347.941184543 196047821.70303655 32707347.94118454 0.0 32707347.94118454
269772593 13.917153256425054 3.3125 0.055 27113766.656487007 169142554.02672276 0.0 27113766.656487014 9482534.790034793
441386522 13.793910958997396 1.4225 0.055 25218579.655244444 159319809.5427908 25218579.655244447 0.0 8667981.364517396
326301723 13.979568270526563 11.305 0.06 22810314.990841936 149398935.5894266 22810314.990841936 0.0 7686409.540043794
441354271 13.917356274379934 3.295 0.05 18713604.90230086 112169428.7901312 0.0 18713604.902300853 6569527.329619557
441386863 28.191092830637192 0.45 0.05 17514109.37544407 104979798.76147191 0.0 17514109.375444066 17514109.375444066
152184774 28.712966170096795 5.055000000000001 0.05 15872275.44803257 95138819.41902333 15872275.448032564 0.0 7956325.7845380455
269772516 13.855023989939655 9.26 0.05 15479424.077700922 92784012.32387704 0.0 15479424.077700919 5589576.044082072
389308200 13.917345790105312 3.255 0.05 9668362.235581705 57952359.15177395 0.0 9668362.235581705 3289184.9816638557
235000060 0.5365434509908684 0.08499999999999999 0.06 802457.7717935742 34206448.78421481 832040.7117970594 773868.5006001892 86508.09909986006
24695725 0.4735983980314332 0.02640160196856678 0.05 844767.7097399693 33488712.111618206 713571.8664038957 721479.6476619219 812966.7802251454
471013513 2.506607741687217 1.235 0.18 828283.1518039976 29602799.133678477 1063976.9698514002 625852.5742068333 401615.75127641007
266996791 2.1233372961625587 0.615 0.2 628649.815435024 25521856.33410658 628446.1034806437 628896.2332689979 373360.5811696287
234340131 0.5041611819707416 0.43250000000000005 0.055 582327.4641656973 24682412.640559625 584622.1017971907 579984.6872831931 659869.77542408
234518883 0.6422428477235448 0.175 0.2 395190.7768710351 24510988.369359005 395286.48373639793 395086.2941788606 155974.7098893107
54001270 2.3484841194221784 2.1350000000000002 0.2 622769.7131565019 24299080.54250297 620930.8869035731 624698.3477734317 369764.6154496657
219338651 1.265837222165937 0.535 0.16 522283.4763522317 23583745.255344585 521478.54518581205 523163.2179219652 334500.54247907636
262958558 3.5369927791607627 0.225 0.2 679020.8698374005 21638801.678757016 678320.0934731018 679748.0905928046 408103.0202834944
147201138 1.8797174451720928 0.7425 0.195 531058.9060317434 21518086.223367803 526026.6419663511 534930.6285781782 308562.5335230552
231666244 0.9134047708143079 0.3275 0.195 378740.304837215 21143481.347239904 274925.9201141306 468213.81874041754 212199.45188549577
181043970 0.8709978492636521 0.1625 0.105 474190.26125658036 21044310.51579016 471494.1446176135 477051.9505947315 297575.1671075612
265591866 2.2810115545357776 0.655 0.2 568969.8690815918 20661615.064553957 573560.3643907465 562475.0536273237 330517.75576021714
219308281 2.8578612474355474 2.205 0.2 592720.2122922172 20405432.568099458 588590.2576045316 597166.3035765175 350982.7782384162
126910093 0.4794447543594099 0.21500000000000002 0.2 304507.6241109866 20237955.32287871 303262.056055626 305737.7232745848 85139.99738972755
410354930 2.599731032449059 0.51 0.2 535382.3419497255 19235738.74176099 534158.6427914089 537204.8262833749 316726.1247465094
214568914 21.36835972740612 9.685 0.05 3036414.15980073 17946292.79230517 3036414.159800729 0.0 1509906.5866162449
231712886 0.5528337318212174 0.36250000000000004 0.155 295954.4370454434 17943400.34324937 295052.79043720535 296837.2993493427 488804.2474101095
121420805 1.716567225021147 1.045 0.15 456327.47957404633 17762379.973986067 457811.4388973793 454757.52014196257 250881.97165931622
290547036 0.9030472213582506 0.2125 0.115 372766.9346732829 16813458.517560348 375614.68793336925 369616.1743034664 223874.65490904692
276935987 2.124955447732414 0.555 0.2 401507.66579856805 15471763.386481477 368912.0947255121 431791.4942423293 145410.738652112
425863844 0.596412009524271 0.315 0.2 242904.1724432469 15439138.987392785 240113.8445966157 245790.55769903708 68354.39616712308
139207681 0.4936730787395742 0.2175 0.075 317208.25484909856 15307621.349362904 319015.9326269665 315290.65071987244 241664.25532499267
89358641 0.5870205467312957 0.33 0.2 225254.77413299726 14305409.636417925 224833.6148981616 225697.2686887466 61739.32317810776
91448148 0.49313344457602454 0.1625 0.125 239484.3733190664 14041919.333676403 244642.93999048448 234418.8735721321 102577.98286721454
33862174 1.4145084802508947 0.6849999999999999 0.16 329102.15865328157 13956788.325101841 327286.64782697463 330862.9215850205 222043.6104132939
471013508 0.5813734947038446 0.1375 0.185 220497.30744314115 13826717.641652875 185394.5283269687 255237.20462496183 81328.70721733395
197766143 5.207377429686802 3.8200000000000003 0.2 488756.40426653204 13809412.45406527 489378.1275256834 488127.2083720545 310206.94632811437
