#TIC Period t0 Duration Depth SNR Depth_even Depth_odd Depth_half
231055035 13.795168320302807 2.025 0.05 5.567979182177925e+30 5.567827032892268e+30 0.0 0.0 0.0
234340131 0.5042002508029428 0.455 0.05 858494.0767138712 35008316.64366576 887904.6836386488 828956.0132043711 935251.6982395898
24695725 0.4735963807421867 0.026403619257813316 0.05 671551.2160320528 26564762.32961925 580162.4675328301 472364.67484299565 615372.2410053032
41833926 0.5109684395147528 0.20500000000000002 0.2 381457.0947323459 25243783.046833344 381325.55648886866 381585.9828723632 162482.16912915523
234518883 0.6421705242764397 0.33 0.2 395616.7850498104 24683157.105749633 395189.59537152865 396040.0514036014 158413.56406363347
313935068 0.4933484341248272 0.315 0.2 322032.4327590887 21394296.635491002 322381.40631608275 321679.4946661482 137828.90814224601
8963901 0.4818728569834245 0.165 0.2 299529.07425090636 19968062.8877526 300796.9927458408 298173.85532287013 120468.0471596689
188630094 0.8627364305658164 0.3575 0.115 432294.3447222762 19921902.955915686 433191.53860382945 431254.9898383637 298387.3699845273
40799637 0.7673222915551768 0.5750000000000001 0.2 325044.81144824147 19321720.367150232 343325.6067450751 307717.1492666805 43415.281271215266
251857120 0.5052973631455175 0.20750000000000002 0.075 399818.7851894346 19171157.561990954 401014.3058196901 398678.7089942057 311669.2945682553
276935987 2.120194946776249 1.51 0.2 471163.9532746853 19136217.629536524 536106.5842734324 396224.27802113636 206007.14882262755
120414806 2.5525657705147786 0.545 0.19 507169.58311428 18455356.861825395 504819.944605654 509239.3563031619 322669.60295635776
300654002 2.759120663037181 0.98 0.2 488212.3241526724 17669674.40952189 488050.96164072177 488375.5151350127 293060.2867701308
391902612 4.5471893566137265 3.615 0.2 605440.4086616569 16766229.245960236 601253.706820193 607748.358419524 355194.2662188049
207174531 0.6250477652495914 0.395 0.11 327349.64065981325 16741111.78828363 327718.22595487465 326947.1484448223 289126.1441286646
425863844 0.5964018947005156 0.33999999999999997 0.2 241405.65711804767 15354865.64701223 240098.11683281936 242642.36000633327 68824.2951050008
219984354 1.238247483411116 0.97 0.12 379555.1844083087 15165531.111260187 380871.18469011725 378380.08351427404 238103.16902064224
180724703 1.1225397791605054 0.14 0.15 331387.52080072963 14897361.330393905 329680.119868359 333032.59725084936 197748.06980769808
439399635 0.606006944715736 0.43500000000000005 0.2 231499.86148998595 14772517.57559477 231584.8777562644 231415.09527154927 57333.82651035729
30317282 1.3979258040772826 1.215 0.2 291392.0282669874 13959468.292362994 282418.5383952521 299514.52900722105 84013.83374792927
69889494 0.5089875470529075 0.115 0.09 262598.3611143824 13509932.689155677 262631.13178199186 262567.39779874426 196548.91144971558
201291281 0.40517963349978897 0.16 0.18 200703.1093361 13488801.004658291 288759.396267302 113878.52997669633 56728.564736733955
287351976 1.9223256318903001 1.6600000000000001 0.18 332079.1512967739 12849579.035301512 332815.0530933159 331218.01027628226 204222.6988584804
175405906 2.012445610523819 1.7300000000000002 0.2 319076.5153508884 12668268.677458536 318577.04636815295 319626.59397723037 201377.74225528742
251857373 0.4826466713662915 0.07500000000000001 0.05 303380.80528836953 12536852.637120252 297955.07423514564 309257.19815585006 5660.547411998303
349835367 3.342039279193498 2.24 0.2 376238.3800906233 12256165.854710197 375608.3711197906 376856.2522861863 218084.71553038675
115443990 0.755348832805606 0.245 0.11 254632.14994200505 11932100.322358558 255021.51755333657 254234.1502696147 155706.21977869814
281728276 0.40999072132288805 0.145 0.05 266965.3432655213 11850928.63834941 296356.21322300995 237938.6079800719 31157.28724208144
158582801 1.080185759399853 0.24 0.09 313099.05562614975 11636430.55180509 315180.0169664837 311042.83490941284 151177.11777208938
38699825 1.0423210157479224 0.715 0.2 220727.0788859459 11631828.979770353 201354.17787463538 239093.7390342265 93366.51774527306
358232450 0.8349262466691736 0.5325 0.155 219708.53017058666 11536320.742783207 258305.75070774995 179313.37498045203 99778.65666097237
434097226 0.44556524384152196 0.285 0.08 219314.60900897413 11373623.128003707 218777.00695672195 219831.9181137774 232290.2512989472
349480507 1.5622488345598897 1.05 0.18 259107.6450924534 11055635.669163147 259692.18867451002 258516.21777832153 122516.62617301046
207085743 0.4239942949375119 0.265 0.2 161340.08077842626 10888188.295725195 162488.66234545188 160170.20390305074 -10003.035952309856
41896812 1.261065741589839 0.47750000000000004 0.135 257191.16970581436 10862958.713610873 258194.8748640755 256259.91679670615 152970.9241538688
141606986 0.5157134546781175 0.43250000000000005 0.055 255322.0180105772 10767496.679386577 284614.7177956464 226087.96226912213 40877.71237530298
402130407 0.44875928359446854 0.13 0.05 250340.9237762502 10717867.266483964 233322.92546908316 268342.0335394085 35519.981468431884
207085748 0.5436115192435718 0.1925 0.055 257929.89264044788 10546503.225726955 242164.6298558553 274299.5192776809 36800.937895739065
355651035 0.5841092917592805 0.09 0.11 199204.3483215862 10528276.112812547 199138.90893906972 199267.43323174515 250610.03831257398
141268467 2.0908738235729554 0.8400000000000001 0.14 315834.9354373537 10484538.616919946 310977.8969363307 320498.01566212985 155036.82498930453
149837469 0.5783685518638132 0.175 0.06 252305.09033755906 10438318.329356277 265359.0124026337 239481.37229230427 37117.77064010325
201176965 1.3643714208280002 0.9225 0.135 252466.45648098664 10168795.959302621 252939.7033206565 252032.05826248365 156254.84140500336
158582802 1.0801857815912999 0.24 0.09 272525.9470226748 10128740.419235678 273955.0181450719 271113.8661778227 131424.00206398504
388179896 0.6197776271428006 0.335 0.05 266432.2546484999 9893318.036797201 266430.84235131624 266433.6782742705 291325.00461357285
175458611 0.6722054720208473 0.47750000000000004 0.055 263800.4502786518 9854727.407404715 264046.8111289514 263540.79059702746 288129.74627547833
306508587 0.5541488791980044 0.29500000000000004 0.2 151521.92647364232 9834224.560888717 164922.60080807505 137056.4945393545 16358.003068412821
31655792 0.4161245420419205 0.2025 0.075 188127.29576111262 9825503.540396007 188797.9973462728 187457.79975100138 235956.6241075914
340704073 0.4704766956998277 0.12 0.05 233767.34745155874 9797489.804251771 266675.1427495054 201587.16169788747 34376.96910105678
471013553 1.048551452968641 0.33999999999999997 0.2 181583.6578364592 9708936.624706868 172826.8567889497 189606.78095836652 14845.57537343042
8989778 0.6128083990891299 0.4275 0.115 181440.7339765458 9572309.79808776 181582.7656382872 181297.95346597224 217479.1522752681
160085375 1.4031811314814624 0.31 0.13 239329.373079948 9541003.611794826 240093.07951880866 238498.54754788597 152183.85714454297
327996089 1.0868369408258254 0.42000000000000004 0.07 283929.2476786569 9489518.088983586 327404.8428221912 241103.6199043778 140096.3194010539
294273900 0.4723274884776706 0.355 0.09 177458.39849259926 9410284.304698946 177039.81772315342 177851.02257745937 224816.77073494814
434106760 0.42090512025591686 0.265 0.05 212707.7412917614 9351220.120781513 198995.7885070324 225833.08647072632 23425.06647365183
218971976 0.5592048942073026 0.2775 0.145 156547.20766301383 9318312.17306462 155352.86249988148 157737.57995242253 238092.08881697484
100029948 1.3887551092858827 0.1375 0.095 267422.8924256805 9163593.023175014 211946.67194673876 328733.84060107206 131542.9968632276
150166721 0.48569127457548 0.195 0.2 131013.72067662358 8701767.6958049 130794.14160490461 131245.4318524146 15864.939400396113
340782794 0.5699064808567794 0.29500000000000004 0.06 207136.5661808402 8667733.023438834 204005.21350480407 210258.35260633833 28089.813922676032
234491752 0.8657541912729516 0.4725 0.105 195961.02016934557 8640273.351882486 195728.4097083431 196194.26272399243 125305.06588647244
402324760 0.5421412120290289 0.385 0.06 201813.11210562935 8623818.812556798 214861.22428881546 188903.80962651974 19818.875317133017
306772761 0.41286473787139627 0.10500000000000001 0.08 160664.77569796186 8618977.113493774 160717.83394290553 160612.36630315095 206269.01885944977
